2023-12-01 04:02:26,352 INFO    StreamThr :73100 [internal.py:wandb_internal():86] W&B internal server running at pid: 73100, started at: 2023-12-01 04:02:26.351856
2023-12-01 04:02:26,353 DEBUG   HandlerThread:73100 [handler.py:handle_request():146] handle_request: status
2023-12-01 04:02:26,356 INFO    WriterThread:73100 [datastore.py:open_for_write():85] open: /home/mac-mvak/code_disk/HiFi-GAN/wandb/run-20231201_040226-wfhb2eki/run-wfhb2eki.wandb
2023-12-01 04:02:26,357 DEBUG   SenderThread:73100 [sender.py:send():380] send: header
2023-12-01 04:02:26,401 DEBUG   SenderThread:73100 [sender.py:send():380] send: run
2023-12-01 04:02:26,919 INFO    SenderThread:73100 [dir_watcher.py:__init__():211] watching files in: /home/mac-mvak/code_disk/HiFi-GAN/wandb/run-20231201_040226-wfhb2eki/files
2023-12-01 04:02:26,919 INFO    SenderThread:73100 [sender.py:_start_run_threads():1124] run started: wfhb2eki with start time 1701392546.35204
2023-12-01 04:02:26,931 DEBUG   HandlerThread:73100 [handler.py:handle_request():146] handle_request: check_version
2023-12-01 04:02:26,931 DEBUG   SenderThread:73100 [sender.py:send_request():407] send_request: check_version
2023-12-01 04:02:27,157 DEBUG   HandlerThread:73100 [handler.py:handle_request():146] handle_request: run_start
2023-12-01 04:02:27,164 DEBUG   HandlerThread:73100 [system_info.py:__init__():32] System info init
2023-12-01 04:02:27,164 DEBUG   HandlerThread:73100 [system_info.py:__init__():47] System info init done
2023-12-01 04:02:27,164 INFO    HandlerThread:73100 [system_monitor.py:start():194] Starting system monitor
2023-12-01 04:02:27,164 INFO    SystemMonitor:73100 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-01 04:02:27,165 INFO    HandlerThread:73100 [system_monitor.py:probe():214] Collecting system info
2023-12-01 04:02:27,165 INFO    SystemMonitor:73100 [interfaces.py:start():190] Started cpu monitoring
2023-12-01 04:02:27,166 INFO    SystemMonitor:73100 [interfaces.py:start():190] Started disk monitoring
